Temperature,Pressure,Humidity,Vaccum,Energy
14.96,1024.07,73.17,41.76,463.26
25.18,1020.04,59.08,62.96,444.37
5.11,1012.16,92.14,39.4,488.56
20.86,1010.24,76.64,57.32,446.48
10.82,1009.23,96.62,37.5,473.9
26.27,1012.23,58.77,59.44,443.67
15.89,1014.02,75.24,43.96,467.35
9.48,1019.12,66.43,44.71,478.42
14.64,1021.78,41.25,45,475.98
11.74,1015.14,70.72,43.56,477.5
17.99,1008.64,75.04,43.72,453.02
20.14,1014.66,64.22,46.93,453.99
24.34,1011.31,84.15,73.5,440.29
25.71,1012.77,61.83,58.59,451.28
26.19,1009.48,87.59,69.34,433.99
21.42,1015.76,43.08,43.79,462.19
18.21,1022.86,48.84,45,467.54
11.04,1022.6,77.51,41.74,477.2
14.45,1023.97,63.59,52.75,459.85
13.97,1015.15,55.28,38.47,464.3
17.76,1009.09,66.26,42.42,468.27
5.41,1019.16,64.77,40.07,495.24
7.76,1008.52,83.31,42.28,483.8
27.23,1014.3,47.19,63.9,443.61
27.36,1003.18,54.93,48.6,436.06
27.47,1009.97,74.62,70.72,443.25
14.6,1011.11,72.52,39.31,464.16
7.91,1023.57,88.44,39.96,475.52
5.81,1012.14,92.28,35.79,484.41
30.53,1012.69,41.85,65.18,437.89
23.87,1019.02,44.28,63.94,445.11
26.09,1013.64,64.58,58.41,438.86
29.27,1011.11,63.25,66.85,440.98
27.38,1010.08,78.61,74.16,436.65
24.81,1018.76,44.51,63.94,444.26
12.75,1007.29,89.46,44.03,465.86
24.66,1011.4,74.52,63.73,444.37
16.38,1010.08,88.86,47.45,450.69
13.91,1014.69,75.51,39.35,469.02
23.18,1012.04,78.64,51.3,448.86
22.47,1007.62,76.65,47.45,447.14
13.39,1017.24,80.44,44.85,469.18
9.28,1018.33,79.89,41.54,482.8
11.82,1014.12,88.28,42.86,476.7
10.27,1020.63,84.6,40.64,474.99
22.92,1019.28,42.69,63.94,444.22
16,1020.24,78.41,37.87,461.33
21.22,1010.96,61.07,43.43,448.06
13.46,1014.51,50,44.71,474.6
9.39,1029.14,77.29,40.11,473.05
31.07,1010.58,43.66,73.5,432.06
12.82,1018.71,83.8,38.62,467.41
32.57,1011.6,66.47,78.92,430.12
8.11,1014.82,93.09,42.18,473.62
13.92,1012.94,80.52,39.39,471.81
23.04,1010.23,68.99,59.43,442.99
27.31,1014.65,57.27,64.44,442.77
5.91,1010.18,95.53,39.33,491.49
25.26,1013.68,71.72,61.08,447.46
27.97,1002.25,57.88,58.84,446.11
26.08,1007.03,63.34,52.3,442.44
29.01,1013.61,48.07,65.71,446.22
12.18,1016.67,91.87,40.1,471.49
13.76,1008.89,87.27,45.87,463.5
25.5,1016.02,64.4,58.79,440.01
28.26,1014.56,43.4,65.34,441.03
21.39,1019.49,72.24,62.96,452.68
7.26,1020.43,90.22,40.69,474.91
10.54,1018.71,74,34.03,478.77
27.71,998.14,71.85,74.34,434.2
23.11,1017.83,86.62,68.3,437.91
7.51,1024.61,97.41,41.01,477.61
26.46,1016.65,84.44,74.67,431.65
29.34,998.58,81.55,74.34,430.57
10.32,1008.82,75.66,42.28,481.09
22.74,1009.56,79.41,61.02,445.56
13.48,1012.71,58.91,39.85,475.74
25.52,1010.36,90.06,69.75,435.12
21.58,1017.39,79,67.25,446.15
27.66,1001.31,69.47,76.86,436.64
26.96,1013.89,51.47,69.45,436.69
12.29,1016.53,83.13,42.18,468.75
15.86,1012.18,40.33,43.02,466.6
13.87,1024.42,81.69,45.08,465.48
24.09,1014.93,94.55,73.68,441.34
20.45,1012.53,91.81,69.45,441.83
15.07,1019,63.62,39.3,464.7
32.72,1009.6,49.35,69.75,437.99
18.23,1015.55,69.61,58.96,459.12
35.56,1006.56,38.75,68.94,429.69
18.36,1010.57,90.17,51.43,459.8
26.35,1009.81,81.24,64.05,433.63
25.92,1014.62,48.46,60.95,442.84
8.01,1014.49,76.72,41.66,485.13
19.63,1025.09,51.16,52.72,459.12
20.02,1012.05,76.34,67.32,445.31
10.08,1022.7,67.3,40.72,480.8
27.23,1005.23,52.38,66.48,432.55
23.37,1013.42,76.44,63.77,443.86
18.74,1018.3,91.55,59.21,449.77
14.81,1017.19,71.9,43.69,470.71
23.1,1011.93,80.05,51.3,452.17
10.72,1021.6,63.77,41.38,478.29
29.46,1006.96,62.26,71.94,428.54
8.1,1020.66,89.04,40.64,478.27
27.29,1007.63,58.02,62.66,439.58
17.1,1005.53,81.82,49.69,457.32
11.49,1018.79,91.14,44.2,475.51
23.69,1010.85,88.92,65.59,439.66
13.51,1011.03,84.83,40.89,471.99
9.64,1015.1,91.76,39.35,479.81
25.65,1010.83,86.56,78.92,434.78
21.59,1011.18,57.21,61.87,446.58
27.98,1013.92,54.25,58.33,437.76
18.8,1001.24,63.8,39.72,459.36
18.28,1016.99,33.71,44.71,462.28
13.55,1016.08,67.25,43.48,464.33
22.99,1010.71,60.11,46.21,444.36
23.94,1014.32,74.55,59.39,438.64
13.74,1018.69,67.34,34.03,470.49
21.3,1001.86,42.75,41.1,455.13
27.54,1017.06,55.2,66.93,450.22
24.81,1009.34,83.61,63.73,440.43
4.97,1014.02,88.78,42.85,482.98
15.22,1014.19,100.12,50.88,460.44
23.88,1012.81,64.52,54.2,444.97
33.01,1005.2,51.41,68.67,433.94
25.98,1012.28,85.78,73.18,439.73
28.18,1005.89,75.41,73.88,434.48
21.67,1017.93,81.63,60.84,442.33
17.67,1014.26,51.92,45.09,457.67
21.37,1018.8,70.12,57.76,454.66
28.69,1017.71,53.83,67.25,432.21
16.61,1012.25,77.23,43.77,457.66
27.91,1010.27,65.67,63.76,435.21
20.97,1007.64,71.18,47.43,448.22
10.8,1013.79,81.96,41.66,475.51
20.61,1013.24,79.54,62.91,446.53
25.45,1011.7,47.09,57.32,441.3
30.16,1007.67,57.69,69.34,433.54
4.99,1020.45,78.89,39.04,472.52
10.51,1012.59,85.29,44.78,474.77
33.79,1001.62,40.13,69.05,435.1
21.34,1016.92,77.06,59.8,450.74
23.4,1014.32,67.38,65.06,442.7
32.21,1003.34,62.44,68.14,426.56
14.26,1016,77.43,42.32,463.71
