TV,radio,newspaper,sales
230100,37800,69200,22100
44500,39300,45100,10400
17200,45900,69300,9300
151500,41300,58500,18500
180800,10800,58400,12900
8700,48900,75000,7200
57500,32800,23500,11800
120200,19600,11600,13200
8600,2100,1000,4800
199800,2600,21200,10600
66100,5800,24200,8600
214700,24000,4000,17400
23800,35100,65900,9200
97500,7600,7200,9700
204100,32900,46000,19000
195400,47700,52900,22400
67800,36600,114000,12500
281400,39600,55800,24400
69200,20500,18300,11300
147300,23900,19100,14600
218400,27700,53400,18000
237400,5100,23500,12500
13200,15900,49600,5600
228300,16900,26200,15500
62300,12600,18300,9700
262900,3500,19500,12000
142900,29300,12600,15000
240100,16700,22900,15900
248800,27100,22900,18900
70600,16000,40800,10500
292900,28300,43200,21400
112900,17400,38600,11900
97200,1500,30000,9600
265600,20000,300,17400
95700,1400,7400,9500
290700,4100,8500,12800
266900,43800,5000,25400
74700,49400,45700,14700
43100,26700,35100,10100
228000,37700,32000,21500
202500,22300,31600,16600
177000,33400,38700,17100
293600,27700,1800,20700
206900,8400,26400,12900
25100,25700,43300,8500
175100,22500,31500,14900
89700,9900,35700,10600
239900,41500,18500,23200
227200,15800,49900,14800
66900,11700,36800,9700
199800,3100,34600,11400
100400,9600,3600,10700
216400,41700,39600,22600
182600,46200,58700,21200
262700,28800,15900,20200
198900,49400,60000,23700
7300,28100,41400,5500
136200,19200,16600,13200
210800,49600,37700,23800
210700,29500,9300,18400
53500,2000,21400,8100
261300,42700,54700,24200
239300,15500,27300,15700
102700,29600,8400,14000
131100,42800,28900,18000
69000,9300,900,9300
31500,24600,2200,9500
139300,14500,10200,13400
237400,27500,11000,18900
216800,43900,27200,22300
199100,30600,38700,18300
109800,14300,31700,12400
26800,33000,19300,8800
129400,5700,31300,11000
213400,24600,13100,17000
16900,43700,89400,8700
27500,1600,20700,6900
120500,28500,14200,14200
5400,29900,9400,5300
116000,7700,23100,11000
76400,26700,22300,11800
239800,4100,36900,12300
75300,20300,32500,11300
68400,44500,35600,13600
213500,43000,33800,21700
193200,18400,65700,15200
76300,27500,16000,12000
110700,40600,63200,16000
88300,25500,73400,12900
109800,47800,51400,16700
134300,4900,9300,11200
28600,1500,33000,7300
217700,33500,59000,19400
250900,36500,72300,22200
107400,14000,10900,11500
163300,31600,52900,16900
197600,3500,5900,11700
184900,21000,22000,15500
289700,42300,51200,25400
135200,41700,45900,17200
222400,4300,49800,11700
296400,36300,100900,23800
280200,10100,21400,14800
187900,17200,17900,14700
238200,34300,5300,20700
137900,46400,59000,19200
25000,11000,29700,7200
90400,300,23200,8700
13100,400,25600,5300
255400,26900,5500,19800
225800,8200,56500,13400
241700,38000,23200,21800
175700,15400,2400,14100
209600,20600,10700,15900
78200,46800,34500,14600
75100,35000,52700,12600
139200,14300,25600,12200
76400,800,14800,9400
125700,36900,79200,15900
19400,16000,22300,6600
141300,26800,46200,15500
18800,21700,50400,7000
224000,2400,15600,11600
123100,34600,12400,15200
229500,32300,74200,19700
87200,11800,25900,10600
7800,38900,50600,6600
80200,0,9200,8800
220300,49000,3200,24700
59600,12000,43100,9700
700,39600,8700,1600
265200,2900,43000,12700
8400,27200,2100,5700
219800,33500,45100,19600
36900,38600,65600,10800
48300,47000,8500,11600
25600,39000,9300,9500
273700,28900,59700,20800
43000,25900,20500,9600
184900,43900,1700,20700
73400,17000,12900,10900
193700,35400,75600,19200
220500,33200,37900,20100
104600,5700,34400,10400
96200,14800,38900,11400
140300,1900,9000,10300
240100,7300,8700,13200
243200,49000,44300,25400
38000,40300,11900,10900
44700,25800,20600,10100
280700,13900,37000,16100
121000,8400,48700,11600
197600,23300,14200,16600
171300,39700,37700,19000
187800,21100,9500,15600
4100,11600,5700,3200
93900,43500,50500,15300
149800,1300,24300,10100
11700,36900,45200,7300
131700,18400,34600,12900
172500,18100,30700,14400
85700,35800,49300,13300
188400,18100,25600,14900
163500,36800,7400,18000
117200,14700,5400,11900
234500,3400,84800,11900
17900,37600,21600,8000
206800,5200,19400,12200
215400,23600,57600,17100
284300,10600,6400,15000
50000,11600,18400,8400
164500,20900,47400,14500
19600,20100,17000,7600
168400,7100,12800,11700
222400,3400,13100,11500
276900,48900,41800,27000
248400,30200,20300,20200
170200,7800,35200,11700
276700,2300,23700,11800
165600,10000,17600,12600
156600,2600,8300,10500
218500,5400,27400,12200
56200,5700,29700,8700
287600,43000,71800,26200
253800,21300,30000,17600
205000,45100,19600,22600
139500,2100,26600,10300
191100,28700,18200,17300
286000,13900,3700,15900
18700,12100,23400,6700
39500,41100,5800,10800
75500,10800,6000,9900
17200,4100,31600,5900
166800,42000,3600,19600
149700,35600,6000,17300
38200,3700,13800,7600
94200,4900,8100,9700
177000,9300,6400,12800
283600,42000,66200,25500
232100,8600,8700,13400
