Month,Passengers
15-01-1949,112
15-02-1949,118
15-03-1949,132
15-04-1949,129
15-05-1949,121
15-06-1949,135
15-07-1949,148
15-08-1949,148
15-09-1949,136
15-10-1949,119
15-11-1949,104
15-12-1949,118
15-01-1950,115
15-02-1950,126
15-03-1950,141
15-04-1950,135
15-05-1950,125
15-06-1950,149
15-07-1950,170
15-08-1950,170
15-09-1950,158
15-10-1950,133
15-11-1950,114
15-12-1950,140
15-01-1951,145
15-02-1951,150
15-03-1951,178
15-04-1951,163
15-05-1951,172
15-06-1951,178
15-07-1951,199
15-08-1951,199
15-09-1951,184
15-10-1951,162
15-11-1951,146
15-12-1951,166
15-01-1952,171
15-02-1952,180
15-03-1952,193
15-04-1952,181
15-05-1952,183
15-06-1952,218
15-07-1952,230
15-08-1952,242
15-09-1952,209
15-10-1952,191
15-11-1952,172
15-12-1952,194
15-01-1953,196
15-02-1953,196
15-03-1953,236
15-04-1953,235
15-05-1953,229
15-06-1953,243
15-07-1953,264
15-08-1953,272
15-09-1953,237
15-10-1953,211
15-11-1953,180
15-12-1953,201
15-01-1954,204
15-02-1954,188
15-03-1954,235
15-04-1954,227
15-05-1954,234
15-06-1954,264
15-07-1954,302
15-08-1954,293
15-09-1954,259
15-10-1954,229
15-11-1954,203
15-12-1954,229
15-01-1955,242
15-02-1955,233
15-03-1955,267
15-04-1955,269
15-05-1955,270
15-06-1955,315
15-07-1955,364
15-08-1955,347
15-09-1955,312
15-10-1955,274
15-11-1955,237
15-12-1955,278
15-01-1956,284
15-02-1956,277
15-03-1956,317
15-04-1956,313
15-05-1956,318
15-06-1956,374
15-07-1956,413
15-08-1956,405
15-09-1956,355
15-10-1956,306
15-11-1956,271
15-12-1956,306
15-01-1957,315
15-02-1957,301
15-03-1957,356
15-04-1957,348
15-05-1957,355
15-06-1957,422
15-07-1957,465
15-08-1957,467
15-09-1957,404
15-10-1957,347
15-11-1957,305
15-12-1957,336
15-01-1958,340
15-02-1958,318
15-03-1958,362
15-04-1958,348
15-05-1958,363
15-06-1958,435
15-07-1958,491
15-08-1958,505
15-09-1958,404
15-10-1958,359
15-11-1958,310
15-12-1958,337
15-01-1959,360
15-02-1959,342
15-03-1959,406
15-04-1959,396
15-05-1959,420
15-06-1959,472
15-07-1959,548
15-08-1959,559
15-09-1959,463
15-10-1959,407
15-11-1959,362
15-12-1959,405
15-01-1960,417
15-02-1960,391
15-03-1960,419
15-04-1960,461
15-05-1960,472
15-06-1960,535
15-07-1960,622
15-08-1960,606
15-09-1960,508
15-10-1960,461
15-11-1960,390
15-12-1960,432
